longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,class
-111.15,17.81,51,1155,701,895,611,1.5795,150000,0
-111.16,17.81,14,5871,1914,1689,1789,1.8406,115700,0
-111.14,17.81,51,1509,115,674,144,4.9106,111400,0
-111.14,17.81,51,1016,481,709,456,1.1717,168500,0
-111.15,17.81,51,1758,460,686,411,1.1691,159400,0
-111.14,17.81,51,1481,751,1444,718,1.9,175700,0
-111.15,17.81,18,1117,855,1510,801,1.9061,115000,0
-111.15,17.81,51,1414,189,550,151,5.0917,161500,0
-111.15,17.81,11,1809,1098,1806,1011,1.6419,118500,0
-111.15,17.81,16,1959,1196,1749,1117,1.0111,155000,0
-111.15,17.81,51,1176,559,919,519,1.1484,114100,0
-111.15,17.81,15,1611,418,675,411,1.4711,141100,0
-111.15,17.81,51,1179,187,514,191,1.1419,111600,0
-111.15,17.81,18,5011,1750,1558,1661,1.4114,118500,0
-111.15,17.81,51,4190,1105,1786,1017,1.0897,114100,0
-111.11,17.84,50,1515,199,970,171,5.8596,117600,0
-111.11,17.84,47,1175,454,1098,485,5.1868,147600,0
-111.14,17.81,41,1576,406,794,176,5.956,166100,0
-111.14,17.85,17,114,54,98,47,4.9641,115000,0
-111.11,17.85,51,1800,411,1061,401,6.1414,171600,0
-111.14,17.84,51,1519,574,1177,555,5.1771,189500,0
-111.14,17.85,51,1611,165,901,167,7.1154,191100,0
-111.11,17.85,18,5187,1048,1011,956,5.457,117100,0
-111.11,17.84,50,1915,471,1011,479,7.5,195100,0
-111.11,17.84,44,1414,597,1158,597,6.0194,191100,0
-111.11,17.81,40,4991,674,1616,654,7.5544,411500,0
-111.1,17.84,10,1111,146,844,141,6.0666,111500,0
-111.11,17.84,14,1018,490,1140,496,7.0548,115900,0
-111.19,17.84,18,1617,110,511,194,11.6017,191600,0
-111.1,17.84,15,1865,460,1071,441,7.4881,119100,0
-111.11,17.81,14,5065,788,1617,766,6.8976,111100,0
-111.19,17.81,18,1116,184,461,190,8.1049,115100,0
-111.1,17.81,16,1589,111,541,111,8.401,151100,0
-111.19,17.81,19,1791,171,661,169,6.8518,168900,0
-111.19,17.81,11,1815,164,615,161,8.117,165900,0
-111.1,17.81,17,1119,181,410,176,7.0175,166700,0
-111.1,17.81,19,1770,514,1165,500,6.1101,161800,0
-111.18,17.81,10,191,18,116,51,6.1614,481100,0
-111.11,17.81,51,1175,111,811,150,7.0549,111400,0
-111.1,17.81,45,1964,416,1067,416,6.7851,111500,0
-111.11,17.8,50,1811,605,1160,551,1.8919,116700,0
-111.11,17.8,18,1154,515,951,487,1.0811,111100,0
-111.11,17.81,51,1189,111,510,114,5.1401,196400,0
-111.11,17.81,51,1971,115,765,108,6.5117,171700,0
-111.11,17.8,51,1181,465,1119,460,1.1611,117700,0
-111.11,17.8,51,1186,464,1071,441,1.0198,199600,0
-111.11,17.8,51,1711,541,1185,515,4.5418,119800,0
-111.11,17.81,51,1014,119,756,140,4.071,170100,0
-111.11,17.81,51,1944,516,1014,511,5.1509,101100,0
-111.11,17.8,51,1011,486,787,459,1.1601,169500,0
-111.11,17.81,51,1411,119,611,111,4.7708,114700,0
-111.11,17.81,51,1917,401,1011,180,8.1564,190100,0
-111.11,17.81,51,1115,191,861,158,8.8791,410100,0
-111.14,17.81,51,1485,111,951,117,6.8591,151400,0
-111.14,17.81,51,1490,118,614,156,6.0101,187100,0
-111.11,17.81,51,1814,165,878,151,7.508,148700,0
-111.14,17.81,51,1091,550,918,481,1.7477,141800,0
-111.14,17.8,51,888,168,160,175,1.1944,111500,0
-111.15,17.8,51,1087,510,1197,488,1.0149,118400,0
-111.14,17.81,51,1511,501,1048,518,1.675,169900,0
-111.15,17.81,46,1111,815,1171,747,1.115,118800,0
-111.15,17.8,41,4110,1065,1715,1015,1.9145,115000,0
-111.15,17.8,41,1164,791,1159,711,1.1419,150000,0
-111.15,17.8,41,1471,469,1061,411,1.6111,171400,0
-111.15,17.8,19,1468,864,1115,771,1.1919,191800,0
-111.14,17.79,17,1611,491,1171,419,1.1171,115000,0
-111.15,17.79,45,1786,516,1475,460,1.7771,97500,0
-111.15,17.79,50,619,188,741,196,1.6458,115000,0
-111.15,17.79,51,1119,191,1086,161,1.181,118800,0
-111.15,17.8,16,1678,606,1645,541,1.1101,116700,0
-111.15,17.8,41,1144,647,1710,644,1.6504,151800,0
-111.14,17.8,51,996,118,711,118,1.1697,117000,0
-111.14,17.8,51,1591,171,1118,147,1.1561,118600,0
-111.14,17.8,51,1586,198,1006,115,1.1148,140600,0
-111.14,17.8,47,1046,588,1111,554,1.6191,181700,0
-111.11,17.8,51,1191,189,771,157,1.1811,146900,0
-111.14,17.8,51,1801,410,1111,401,1.957,111800,0
-111.14,17.8,49,1818,749,1487,677,1.5118,169100,0
-111.11,17.8,51,781,184,488,186,1.9175,116600,0
-111.11,17.8,51,1590,414,949,191,1.9018,117900,0
-111.11,17.8,50,1746,480,1149,415,1.15,111500,0
-111.11,17.8,51,1151,199,844,180,1.1919,111900,0
-111.11,17.79,41,5961,1144,4167,1111,1.1917,111800,0
-111.11,17.79,51,1781,195,1659,411,1.9157,107900,0
-111.11,17.79,10,999,164,1011,161,1.8854,117500,0
-111.14,17.79,19,1469,411,1464,189,1.1618,105500,0
-111.14,17.79,47,1171,195,1117,101,1.115,95500,0
-111.14,17.79,51,674,180,647,168,1.175,116100,0
-111.14,17.79,41,1616,176,1184,157,1.1541,111100,0
-111.15,17.79,51,175,41,118,55,1.1,75000,0
-111.15,17.79,19,461,119,181,111,1.6,111500,0
-111.15,17.79,51,901,117,846,117,1.615,115000,0
-111.16,17.8,10,1171,779,1659,676,1.6919,115000,0
-111.11,17.77,51,191,118,510,118,1.6471,95000,0
-111.11,17.77,51,1117,101,866,159,1.59,96400,0
-111.11,17.77,51,769,106,611,181,1.57,71000,0
-111.11,17.78,51,471,146,415,116,1.6419,71100,0
-111.11,17.78,51,861,115,994,111,1.0157,80800,0
-111.11,17.78,50,1910,510,1515,477,1.4886,118800,0
-111.11,17.78,41,1410,471,1506,418,1.9118,111500,0
-111.11,17.78,51,986,158,1008,155,1.4844,119400,0
-111.11,17.78,44,1140,815,1811,751,1.6009,118100,0
-111.11,17.79,48,1696,196,1481,141,1.0175,111500,0
-111.11,17.79,49,1175,117,859,119,1.191,106100,0
-111.11,17.79,17,1141,574,1608,511,1.1494,111500,0
-111.11,17.79,10,610,145,415,140,1.6198,111700,0
-111.11,17.79,40,910,199,564,184,1.1181,111100,0
-111.11,17.79,44,1487,114,961,171,1.5156,109500,0
-111.11,17.79,51,1414,690,1171,685,1.9048,164700,0
-111.11,17.79,51,761,190,600,195,1.0891,115000,0
-111.11,17.79,46,1166,575,1647,517,1.6041,114700,0
-111.11,17.79,49,1816,450,1101,414,1.5,116700,0
-111.11,17.79,18,1049,711,1167,659,1.7969,141700,0
-111.1,17.79,19,1640,176,919,140,1.8111,150000,0
-111.11,17.79,47,1541,107,859,191,1.9581,118800,0
-111.11,17.79,14,1164,557,1517,516,1.8165,119100,0
-111.11,17.79,15,1745,409,1141,186,1.875,141800,0
-111.11,17.8,19,1001,500,1109,464,1.0681,156500,0
-111.11,17.8,19,1018,447,1111,446,1.0757,151000,0
-111.1,17.8,41,1045,499,1115,455,4.9559,171000,0
-111.1,17.8,51,1547,191,706,168,4.7711,117100,0
-111.11,17.8,51,1519,711,1881,706,1.4861,187100,0
-111.1,17.8,41,1070,154,804,140,5.1184,119600,0
-111.11,17.8,48,1111,161,506,151,4.0977,119700,0
-111.19,17.8,48,1694,159,610,118,4.744,157100,0
-111.19,17.8,46,1918,141,768,111,4.1717,146900,0
-111.19,17.79,50,968,195,461,184,1.9844,179900,0
-111.1,17.79,40,1060,156,667,115,4.1719,169600,0
-111.1,17.8,46,1041,405,1059,199,1.8487,101100,0
-111.19,17.8,51,1811,171,617,177,4.0114,161400,0
-111.19,17.79,45,1718,451,1106,454,4.6561,111800,0
-111.19,17.79,18,1144,761,1717,669,1.9197,140500,0
-111.1,17.79,15,1801,459,1009,190,1.1016,116000,0
-111.1,17.79,49,881,195,717,110,1.6667,111000,0
-111.1,17.79,44,1611,451,1154,491,1.619,114700,0
-111.11,17.79,45,1115,511,1510,474,1.4167,119400,0
-111.1,17.79,45,1011,518,1410,480,1.7788,115400,0
-111.11,17.78,46,1119,508,1190,569,1.7151,117100,0
-111.11,17.78,51,1477,100,1065,169,1.8471,117000,0
-111.11,17.78,51,1056,114,791,145,1.6581,141600,0
-111.11,17.78,49,898,144,779,145,1.0516,117500,0
-111.11,17.78,44,1968,710,1169,610,1.1906,111700,0
-111.11,17.78,41,1701,460,1117,407,1.7188,116800,0
-111.11,17.78,47,881,148,751,141,1.615,111100,0
-111.11,17.77,40,494,114,547,115,1.8015,114800,0
-111.11,17.78,50,1776,471,1807,440,1.7176,101100,0
-111.11,17.78,44,1678,514,1700,495,1.0801,111900,0
-111.11,17.78,51,1617,461,1541,191,1.489,119100,0
-111.11,17.76,51,1410,114,1085,100,1.7546,80600,0
-111.11,17.77,51,591,171,151,117,4.0904,80600,0
-111.11,17.77,51,745,151,471,149,1.6765,88800,0
-111.1,17.77,49,1171,498,1611,481,1.4118,101400,0
-111.11,17.77,46,1114,175,1181,154,1.1109,98700,0
-111.11,17.77,41,1017,118,816,177,1.1604,100000,0
-111.19,17.77,41,911,154,900,161,1.8019,91100,0
-111.1,17.77,19,1689,597,1888,517,1.1561,94800,0
-111.1,17.77,41,1547,415,1014,141,1.0561,101000,0
-111.1,17.78,51,1100,441,1115,411,1.5198,158400,0
-111.1,17.78,19,1751,199,1071,176,1.1167,111600,0
-111.1,17.78,50,1867,401,1118,178,1.5401,119100,0
-111.1,17.77,41,1410,501,1517,484,1.898,111400,0
-111.11,17.78,44,1719,414,1140,191,1.1115,101800,0
-111.19,17.78,51,1016,180,469,168,1.875,160000,0
-111.19,17.77,51,1170,418,1086,415,1.1715,141900,0
-111.19,17.77,51,1119,445,1144,417,1.5114,151100,0
-111.19,17.78,51,1491,415,1109,175,4.1115,164400,0
-111.19,17.78,51,1198,197,984,169,1.11,156500,0
-111.18,17.78,11,141,11,575,47,1.875,115000,0
-111.19,17.78,49,1181,105,496,109,5.1118,174100,0
-111.19,17.78,51,1070,191,555,190,1.7161,166900,0
-111.1,17.78,45,1766,111,869,117,4.5891,161500,0
-111.18,17.79,19,617,95,116,106,5.1578,151000,0
-111.18,17.79,41,1411,111,616,114,7.0875,140700,0
-111.18,17.79,46,1109,187,911,119,1.9711,108100,0
-111.19,17.79,47,1119,141,581,156,1.9514,198100,0
-111.19,17.79,50,954,117,546,101,1.6667,171800,0
-111.18,17.81,17,1641,161,610,166,5.4446,116700,0
-111.18,17.8,14,1155,195,441,195,6.1818,118100,0
-111.18,17.8,11,1117,116,955,118,6.7517,185800,0
-111.11,17.77,14,1459,117,916,114,7.0711,191000,0
-111.16,17.79,11,11841,1048,4985,1967,5.9849,171000,0
-111.17,17.78,41,1514,160,651,167,1.6875,157100,0
-111.17,17.77,10,1116,746,1704,701,1.875,115100,0
-111.18,17.78,41,1985,440,1085,407,1.4105,116700,0
-111.18,17.78,50,1641,111,711,184,1.1984,160700,0
-111.17,17.78,49,891,177,468,181,1.875,140600,0
-111.17,17.78,51,651,118,196,111,4.175,144000,0
-111.16,17.77,47,1156,,570,118,4.175,161900,0
-111.16,17.77,48,977,194,446,180,4.7708,156100,0
-111.16,17.77,45,1114,197,968,184,1.5719,176000,0
-111.16,17.77,19,1581,149,857,116,1.0958,145800,0
-111.17,17.77,19,1611,141,911,111,1.1958,141900,0
-111.17,17.77,11,1414,511,1160,451,1.871,90700,0
-111.17,17.76,41,1594,167,1074,155,1.9156,90600,0
-111.17,17.76,47,1118,411,965,181,1.1841,107900,0
-111.18,17.76,17,1575,158,911,110,1.1917,107000,0
-111.17,17.76,18,1764,197,987,154,1.4111,98100,0
-111.18,17.76,50,1187,161,907,146,1.9479,89500,0
-111.18,17.76,51,754,175,447,165,1.9061,91800,0
-111.18,17.76,49,1108,451,1199,451,1.8407,96700,0
-111.18,17.77,17,909,116,196,157,1.0786,97500,0
-111.18,17.77,41,1180,157,877,168,1.8115,97100,0
-111.18,17.76,41,1018,408,1111,167,1.8911,91100,0
-111.19,17.76,49,1168,181,790,169,1.7056,91400,0
-111.18,17.77,51,1744,547,1479,554,1.1768,96100,0
-111.18,17.77,51,1107,471,1171,418,1.1551,110100,0
-111.18,17.77,51,1748,161,1019,166,1.0556,100000,0
-111.19,17.76,51,1014,191,1010,150,1.4659,94700,0
-111.1,17.76,47,1116,159,816,179,1.75,85700,0
-111.19,17.77,41,1016,510,1411,454,1.0469,89100,0
-111.19,17.77,45,1851,191,1111,149,1.7159,101400,0
-111.19,17.76,41,911,107,511,159,1.1081,71500,0
-111.19,17.76,45,995,118,610,117,1.915,74100,0
-111.1,17.75,16,606,111,511,111,1.5809,70000,0
-111.1,17.76,17,1680,716,1915,667,1.4097,84600,0
-111.19,17.76,18,1491,170,1144,151,0.7681,81800,0
-111.19,17.75,19,1107,565,1481,510,1.1194,81400,0
-111.19,17.75,18,856,189,415,161,0.8011,81800,0
-111.19,17.76,16,1191,197,984,101,1.9479,85800,0
-111.19,17.74,16,847,111,567,159,1.1765,87100,0
-111.18,17.74,41,541,154,180,111,1.1456,81500,0
-111.19,17.71,44,1066,151,815,144,1.1518,79700,0
-111.19,17.74,41,707,147,417,155,1.5119,81400,0
-111.19,17.71,45,1518,191,801,187,1.1615,84700,0
-111.18,17.71,41,909,115,646,198,1.9061,80000,0
-111.18,17.71,41,1191,191,855,185,1.5191,76400,0
-111.18,17.71,44,548,119,415,116,1.1111,79700,0
-111.18,17.71,41,4074,874,1716,780,1.455,81400,0
-111.17,17.74,41,1611,445,1481,414,1.4018,97700,0
-111.17,17.74,47,461,114,117,117,1.15,97100,0
-111.17,17.74,41,818,191,494,179,1.4776,101600,0
-111.17,17.71,41,1471,171,1111,141,1.1587,86500,0
-111.18,17.74,15,504,116,111,109,1.8418,90500,0
-111.17,17.74,46,1016,116,749,115,1.0198,107600,0
-111.17,17.74,46,769,181,691,178,1.15,84100,0
-111.18,17.74,46,1101,191,1119,154,1.1467,88900,0
-111.18,17.75,45,110,76,181,80,4.0469,80700,0
-111.18,17.75,46,941,118,611,195,1.115,87100,0
-111.17,17.75,18,991,,711,159,1.6196,85100,0
-111.18,17.75,45,990,161,901,160,1.1711,81000,0
-111.19,17.75,16,1116,161,481,150,1.9167,81800,0
-111.18,17.75,41,1016,111,651,111,1.069,84600,0
-111.18,17.75,16,1047,114,651,166,1.711,81100,0
-111.17,17.76,11,1180,107,999,186,1.5615,89100,0
-111.17,17.75,41,1587,110,907,106,1.9811,98100,0
-111.17,17.75,41,1157,171,818,110,1.5041,91100,0
-111.17,17.75,44,1118,148,761,154,1.1181,88800,0
-111.17,17.75,48,1751,190,915,149,1.4175,90000,0
-111.16,17.76,45,1199,514,1417,484,1.5111,95500,0
-111.16,17.75,18,1457,614,1516,481,1.5615,91700,0
-111.17,17.75,47,998,111,597,185,1.1587,100400,0
-111.17,17.76,40,1685,141,949,141,1.8416,94800,0
-111.16,17.76,46,1817,107,881,101,4.6696,164100,0
-111.16,17.76,16,1781,574,1418,519,1.4598,155500,0
-111.15,17.76,19,1811,186,761,170,6.0749,196900,0
-111.14,17.77,17,1119,165,1197,155,4.8104,179100,0
-111.14,17.76,14,1511,111,545,111,5.5701,151800,0
-111.11,17.76,16,1166,491,1111,511,5.17,175400,0
-111.11,17.75,11,1809,161,808,119,6.86,150000,0
-111.11,17.75,18,794,111,119,109,7.6911,119800,0
-111.14,17.75,16,690,105,199,109,4.0111,195500,0
-111.14,17.75,11,1114,100,579,101,6.8111,155900,0
-111.11,17.75,10,414,54,117,50,4.975,111100,0
-111.11,17.75,16,768,91,119,91,5.1601,110000,0
-111.11,17.74,41,4400,666,1476,648,5,148900,0
-111.16,17.75,46,954,161,419,154,1.915,141900,0
-111.15,17.75,40,1445,156,849,155,1.8911,116100,0
-111.15,17.75,44,1918,199,946,111,1.115,115800,0
-111.15,17.74,41,856,178,571,191,1.1458,110600,0
-111.16,17.75,14,1790,454,1117,186,1.517,107900,0
-111.16,17.75,44,617,111,178,115,1.5568,111100,0
-111.15,17.74,41,1181,175,851,171,1.5081,111000,0
-111.15,17.74,49,1115,177,764,181,1.1115,118000,0
-111.16,17.75,40,1117,194,918,161,1.8115,95100,0
-111.16,17.75,15,667,140,406,111,1.8047,94100,0
-111.17,17.74,14,1111,181,814,180,1.1917,91500,0
-111.17,17.75,17,1179,187,815,159,1.4961,91800,0
-111.16,17.74,41,1514,100,816,195,4.0417,109400,0
-111.16,17.74,46,1019,181,567,111,1.4844,119500,0
-111.16,17.74,51,771,147,155,144,4.1458,141400,0
-111.16,17.74,47,814,111,511,166,1.615,98100,0
-111.16,17.74,44,1097,119,609,115,1.0117,101100,0
-111.19,17.9,49,1181,118,576,116,1.1111,176800,0
-111.19,17.9,51,1604,161,594,186,5.118,170900,0
-111.19,17.89,51,1148,411,870,177,1.4711,146100,0
-111.1,17.9,18,1161,511,1017,509,1.5115,114100,0
-111.19,17.89,51,1571,149,691,116,1.1175,119100,0
-111.1,17.89,46,1510,401,815,175,1.8016,111600,0
-111.1,17.9,15,5081,1111,1410,1146,4.5814,156100,0
-111.1,17.89,16,1077,191,518,176,1.0108,106100,0
-111.1,17.89,51,1148,181,610,175,4.0875,111100,0
-111.11,17.89,41,1141,191,551,166,4.5168,107400,0
-111.14,17.88,17,1061,910,1556,914,1.7175,150000,0
-111.19,17.89,51,1171,698,1498,696,1.1795,118100,0
-111.19,17.88,50,1111,161,511,117,1.8671,116700,0
-111.19,17.89,51,979,175,174,151,5.1675,170600,0
-111.19,17.89,51,1169,180,1004,171,5.1696,161400,0
-111.18,17.88,51,1844,111,769,114,4.1614,161100,0
-111.19,17.89,51,1178,411,940,411,5.0551,111100,0
-111.17,17.9,41,1650,174,645,156,5.6118,175400,0
-111.16,17.9,51,1917,179,705,188,7.8864,157100,0
-111.17,17.9,51,1079,171,684,175,7.9556,174400,0
-111.17,17.9,51,1801,140,571,116,6.174,158800,0
-111.17,17.9,51,1041,170,671,151,6.9414,417500,0
-111.17,17.89,51,1046,171,975,165,8.8141,410500,0
-111.18,17.9,51,1118,118,779,111,7.1754,161900,0
-111.18,17.9,51,1001,150,658,144,10.0815,197000,0
-111.18,17.9,51,1161,118,819,115,4.9081,146800,0
-111.18,17.89,51,1115,169,411,168,5.7911,117100,0
-111.18,17.89,51,1115,408,815,169,4.5891,190100,0
-111.18,17.89,51,1070,119,711,106,5.4171,191000,0
-111.18,17.89,51,1616,471,1085,487,4.115,170900,0
-111.17,17.89,51,1640,166,971,155,7.166,171100,0
-111.17,17.89,51,1978,191,711,171,5.1989,115600,0
-111.16,17.9,17,1110,115,901,161,7.8116,171100,0
-111.15,17.89,41,1115,195,156,181,6.1591,144000,0
-111.16,17.89,51,1078,494,1005,461,6.181,141100,0
-111.16,17.89,51,1706,511,1105,504,6.6818,170900,0
-111.15,17.89,17,1000,457,987,450,7.5185,150000,0
-111.15,17.89,41,1861,460,1011,448,6.7118,168600,0
-111.16,17.88,51,1551,417,894,404,6.1415,191800,0
-111.16,17.88,51,1155,410,811,177,5.7979,415100,0
-111.17,17.88,51,1160,648,1111,611,4.1811,184900,0
-111.17,17.88,51,1691,191,669,167,1.5417,187500,0
-111.17,17.88,44,1151,591,989,550,1.0111,171900,0
-111.18,17.88,51,1495,491,1058,464,4.1419,159600,0
-111.18,17.88,51,1191,100,506,107,4.1911,154500,0
-111.18,17.88,51,1171,115,489,118,1.9167,115600,0
-111.19,17.88,51,1159,414,814,188,1.8897,118400,0
-111.19,17.88,48,1165,490,1014,475,1.1065,119100,0
-111.19,17.88,46,1895,441,910,415,1.9916,191100,0
-111.19,17.88,51,1650,195,841,180,1.556,179100,0
-111.1,17.88,45,451,146,749,117,1.475,187500,0
-111.1,17.88,51,409,97,108,98,1.6971,118800,0
-111.1,17.87,10,501,118,118,100,1.1705,150000,0
-111.1,17.86,50,499,117,187,118,1.75,140600,0
-111.19,17.85,51,477,119,118,106,1.5681,110000,0
-111.1,17.88,46,1647,176,854,155,1.9,144800,0
-111.1,17.87,51,1111,749,1695,684,1.1108,144800,0
-111.18,17.88,51,957,188,401,171,1.1144,145500,0
-111.18,17.87,51,589,111,188,111,1.5156,100000,0
-111.18,17.87,49,1016,548,961,511,1.9805,171700,0
-111.19,17.87,50,1819,516,1119,516,1.6684,185600,0
-111.19,17.87,51,895,198,186,104,1.875,181600,0
-111.18,17.88,51,1909,416,811,406,1.006,117900,0
-111.18,17.87,46,1011,696,1191,675,1.541,110700,0
-111.18,17.87,46,1777,446,805,411,1.8676,111000,0
-111.17,17.88,51,1801,910,1171,876,1.1907,171400,0
-111.17,17.87,10,1465,419,861,415,1.7778,168800,0
-111.17,17.88,17,1619,681,1151,616,1.51,177800,0
-111.16,17.88,51,1149,155,481,149,4.1788,111500,0
-111.16,17.88,51,1161,604,1558,571,1.944,118900,0
-111.16,17.88,51,1604,817,1798,769,1.715,187500,0
-111.15,17.87,41,685,141,166,111,5.1189,184600,0
-111.15,17.87,41,1756,465,1184,411,1.5561,171400,0
-111.15,17.87,51,1104,460,1016,477,0.949,150000,0
-111.15,17.87,51,609,116,1149,150,1.1696,500001,0
-111.16,17.87,51,1087,171,1117,150,1.4011,175000,0
-111.16,17.87,51,1771,998,1711,949,1.1859,141700,0
-111.17,17.87,15,1118,1108,1675,1000,1.7464,116700,0
